"corpus","AranRusi_x"
"subcorpus","-"
"concordance size","342812"
"query","Query:[lc=""за"" | lemma_lc=""за""];Sort:lemma/ -2<0;Sort:word/ -2<0;Sort:word/i 0<0~0>0"
"galichstanqe.narod.ru","предприятий индустрии гостеприимства.  ¶ [...] ^ что"," за"," примета оторвалась с шапки какарда, что бы ты не"
"murzix.ru",") думаю отличный подарок будет ^_^ Спасибо"," за"," обзор =)  ¶ Вопрос такой-можно ли каким-то"
"rudocs.exdat.com","1,2,3 и т.д. Черемушкинские. ^ Голосовали"," за"," то, чтобы назвать улицы по номерам: 1, 2, 3, 4, 5,"
"secrethistory.su","Св. Саввы в Банялучской семинарии), ""Руково^а"," за"," српско-боснаске, ерцеговачке, старо-срби]"
"economy-lib.com","- на 6,4, выход яиц I категория - на 12,1^."," За"," счет исключения капитальных вложений в"
"business-gazeta.ru","размер джинсов в меге и южном цены там 2500~4500"," за"," пару!(по акции около 1000,но полгое Г.) Не"
"volzsky.ru",": достаточно дешево: питайа ~40KДонгов"," за"," кг.  ¶ Рынок Хошимина – это ужас для европейца. На"
"forum.cxem.net","нужно доводить до ума. Исходная цена: по ~1000р"," за"," каждый из трех трансов + ~2300 шасси Цена всего"
"ubuntu-news.ru","эта статья не больше чем Copy-Paste <_<  ¶ Следите"," за"," словами, эту статью я собственноручно"
"kykhkykh.org","заключила губернатор.  ¶ [...] Кроме того, медалями <<","За"," верность Северу>>, учрежденными АКМНСС и ДВ РФ"
"chastnydom.com","более дешёвой шовной технологии. <  ¶ Ухаживать"," за"," таким потолком не сложно. На матовой"
"o-marketing.ru","новых пользователей. Ценообразование = цена"," за"," создание обычного тематического сайта +"
"forum.1k.by",", цена за минуту. Стоимость поездки = цена"," за"," километр * расстояние (скорость > 20 км/ч) +"
"seventeenzero.ru",", не видно проклятого... читать далее  ¶ =)"," За"," окном дождь уже со вчерашнего вечера.  (...) Ну, может"
"infodengy.ru","сделал, yusi4ka, чтобы не промахивались=)))"," За"," видео пожалуйста, приходи ещё)))  ¶ ≡"
"azbooki.ru","помогите может есть какая нить хитрюшка=))","за"," ранее спасссибо!!! azbooki.ru : Tiestov , в"
"wlad2.ru","MFCPA — типа MFA/MFS, но MF = made for / CPA = плата"," за"," действие, в нашем случае за продажу бабам"
"misterium-rpg.ru","и прочего).  ¶ Думаю, ты понял что поправить =)"," За"," статы не волнуйся, их Орни потом выставит, у нее"
